io_mode,bandwidth,total_size,block_size,latency
1,1.0,33.0,28.0,72.73472809791565
1,1.0,33.0,29.0,72.4970178604126
1,1.0,33.0,30.0,72.29518389701843
1,2.0,30.0,17.0,9.90862798690796
1,2.0,30.0,18.0,7.086666107177734
1,2.0,30.0,19.0,7.032918214797974
1,2.0,30.0,20.0,6.555477857589722
1,2.0,30.0,21.0,7.223386287689209
1,2.0,30.0,22.0,5.427436590194702
1,2.0,30.0,23.0,4.930986404418945
1,2.0,30.0,24.0,4.731846809387207
1,2.0,30.0,25.0,4.813042402267456
1,2.0,30.0,26.0,4.623951196670532
1,2.0,30.0,27.0,4.594853162765503
1,2.0,30.0,28.0,4.54809832572937
1,2.0,30.0,29.0,4.544455289840698
1,2.0,30.0,30.0,4.8576531410217285
1,2.0,31.0,17.0,19.960251092910767
1,2.0,31.0,18.0,16.56126379966736
1,2.0,31.0,19.0,13.30540132522583
1,2.0,31.0,20.0,16.893152475357056
1,2.0,31.0,21.0,12.375698804855348
1,2.0,31.0,22.0,10.676478624343872
1,2.0,31.0,23.0,10.20167875289917
1,2.0,31.0,24.0,9.726191520690918
1,2.0,31.0,25.0,9.47981071472168
1,2.0,31.0,26.0,9.266932487487791
1,2.0,31.0,27.0,9.21751832962036
1,2.0,31.0,28.0,9.127624273300173
1,2.0,31.0,29.0,9.126647710800173
1,2.0,31.0,30.0,9.046544313430786
1,2.0,32.0,17.0,40.768349409103394
1,2.0,32.0,18.0,41.48235845565796
1,2.0,32.0,19.0,29.497227430343628
1,2.0,32.0,20.0,27.861764192581177
1,2.0,32.0,21.0,27.358213424682617
1,2.0,32.0,22.0,21.123436212539676
1,2.0,32.0,23.0,19.621858835220337
1,2.0,32.0,24.0,18.85696244239807
1,2.0,32.0,25.0,18.669475317001343
1,2.0,32.0,26.0,18.51461267471313
1,2.0,32.0,27.0,18.35419225692749
1,2.0,32.0,28.0,18.2879376411438
1,2.0,32.0,29.0,18.225550889968872
1,2.0,32.0,30.0,18.12216567993164
1,2.0,33.0,17.0,120.16331315040588
1,2.0,33.0,18.0,83.56003761291504
1,2.0,33.0,19.0,62.09477686882019
1,2.0,33.0,20.0,53.42911410331726
1,2.0,33.0,21.0,48.895262241363525
1,2.0,33.0,22.0,41.98178315162659
1,2.0,33.0,23.0,39.57913661003113
1,2.0,33.0,24.0,37.81572890281677
1,2.0,33.0,25.0,37.55674171447754
1,2.0,33.0,26.0,37.01807236671448
1,2.0,33.0,27.0,36.76256227493286
1,2.0,33.0,28.0,36.595970153808594
1,2.0,33.0,29.0,36.39978551864624
1,2.0,33.0,30.0,36.3172242641449
1,3.0,30.0,17.0,7.687720060348511
1,3.0,30.0,18.0,5.427249193191528
1,3.0,30.0,19.0,5.109257459640503
1,3.0,30.0,20.0,4.7762181758880615
1,3.0,30.0,21.0,4.451169729232788
1,3.0,30.0,22.0,3.900547504425049
1,3.0,30.0,23.0,3.4446191787719727
1,3.0,30.0,24.0,3.2160756587982178
1,3.0,30.0,25.0,3.18903923034668
1,3.0,30.0,26.0,3.19752836227417
1,3.0,30.0,27.0,3.093234062194824
1,3.0,30.0,28.0,3.057626962661743
1,3.0,30.0,29.0,3.038304328918457
1,3.0,30.0,30.0,3.009486436843872
1,3.0,31.0,17.0,22.523402214050293
1,3.0,31.0,18.0,13.527128458023071
1,3.0,31.0,19.0,10.30344009399414
1,3.0,31.0,20.0,11.302208185195925
1,3.0,31.0,21.0,9.73382568359375
1,3.0,31.0,22.0,7.70490288734436
1,3.0,31.0,23.0,6.933491945266724
1,3.0,31.0,24.0,6.446759462356567
1,3.0,31.0,25.0,6.383244276046753
1,3.0,31.0,26.0,6.258821249008179
1,3.0,31.0,27.0,6.168857336044312
1,3.0,31.0,28.0,6.129647254943848
1,3.0,31.0,29.0,6.087444067001343
1,3.0,31.0,30.0,6.064216613769531
1,3.0,32.0,17.0,50.65722036361694
1,3.0,32.0,18.0,42.09620904922485
1,3.0,32.0,19.0,22.36140203475952
1,3.0,32.0,20.0,18.67653799057007
1,3.0,32.0,21.0,18.177237272262573
1,3.0,32.0,22.0,14.947837829589844
1,3.0,32.0,23.0,13.586434125900269
1,3.0,32.0,24.0,12.83443808555603
1,3.0,32.0,25.0,13.826837539672852
1,3.0,32.0,26.0,12.484009265899658
1,3.0,32.0,27.0,12.367069721221924
1,3.0,32.0,28.0,12.282198667526243
1,3.0,32.0,29.0,12.22193193435669
1,3.0,32.0,30.0,12.152993202209473
1,3.0,33.0,17.0,77.1414315700531
1,3.0,33.0,18.0,59.563501834869385
1,3.0,33.0,19.0,52.60683298110962
1,3.0,33.0,20.0,42.223395586013794
1,3.0,33.0,21.0,44.47543931007385
1,3.0,33.0,22.0,35.33828616142273
1,3.0,33.0,23.0,29.984700679779053
1,3.0,33.0,24.0,25.352213144302368
1,3.0,33.0,25.0,25.402134656906128
1,3.0,33.0,26.0,25.384950160980225
1,3.0,33.0,27.0,25.09205794334412
1,3.0,33.0,28.0,24.60526323318481
1,3.0,33.0,29.0,24.43787169456482
1,3.0,33.0,30.0,24.36378169059753
1,4.0,30.0,17.0,8.826478242874146
1,4.0,30.0,18.0,5.047102928161621
1,4.0,30.0,19.0,4.5282816886901855
1,4.0,30.0,20.0,4.151575803756714
1,4.0,30.0,21.0,3.953174591064453
1,4.0,30.0,22.0,3.102768898010254
1,4.0,30.0,23.0,2.728566884994507
1,4.0,30.0,24.0,2.4436051845550537
1,4.0,30.0,25.0,2.453579425811768
1,4.0,30.0,26.0,2.3724405765533447
1,4.0,30.0,27.0,2.358480930328369
1,4.0,30.0,28.0,2.341515064239502
1,4.0,30.0,29.0,2.301222801208496
1,4.0,30.0,30.0,2.291624069213867
1,4.0,31.0,17.0,20.349409103393555
1,4.0,31.0,18.0,12.657025575637816
1,4.0,31.0,19.0,8.448617458343506
1,4.0,31.0,20.0,8.102005004882812
1,4.0,31.0,21.0,7.576526641845703
1,4.0,31.0,22.0,6.169011354446411
1,4.0,31.0,23.0,5.205054759979248
1,4.0,31.0,24.0,4.925507307052612
1,4.0,31.0,25.0,4.921704530715942
1,4.0,31.0,26.0,4.7659406661987305
1,4.0,31.0,27.0,4.681621551513672
1,4.0,31.0,28.0,4.66715931892395
1,4.0,31.0,29.0,4.626569986343384
1,4.0,31.0,30.0,4.5883629322052
1,4.0,32.0,17.0,40.18464374542236
1,4.0,32.0,18.0,24.622523069381717
1,4.0,32.0,19.0,19.000551223754883
1,4.0,32.0,20.0,15.711113214492798
1,4.0,32.0,21.0,14.101045608520508
1,4.0,32.0,22.0,11.73038411140442
1,4.0,32.0,23.0,10.56838607788086
1,4.0,32.0,24.0,9.886768341064451
1,4.0,32.0,25.0,9.732333183288574
1,4.0,32.0,26.0,9.495522260665894
1,4.0,32.0,27.0,9.517461776733398
1,4.0,32.0,28.0,9.624569416046144
1,4.0,32.0,29.0,9.431785345077516
1,4.0,32.0,30.0,9.208877801895142
1,4.0,33.0,17.0,92.09857368469238
1,4.0,33.0,18.0,58.01218700408936
1,4.0,33.0,19.0,39.87778425216675
1,4.0,33.0,20.0,35.58012509346008
1,4.0,33.0,21.0,30.356472969055176
1,4.0,33.0,22.0,24.3774676322937
1,4.0,33.0,23.0,21.240069150924683
1,4.0,33.0,24.0,19.66298532485962
1,4.0,33.0,25.0,19.374881267547607
1,4.0,33.0,26.0,18.88251543045044
1,4.0,33.0,27.0,18.704874515533447
1,4.0,33.0,28.0,18.60449171066284
1,4.0,33.0,29.0,18.5062267780304
1,4.0,33.0,30.0,18.41498875617981
1,5.0,30.0,17.0,7.206772804260254
1,5.0,30.0,18.0,4.479737520217896
1,5.0,30.0,19.0,3.923595905303955
1,5.0,30.0,20.0,3.295818567276001
1,5.0,30.0,21.0,3.149040937423706
1,5.0,30.0,22.0,2.55779242515564
1,5.0,30.0,23.0,2.188077926635742
1,5.0,30.0,24.0,2.068467617034912
1,5.0,30.0,25.0,2.0098190307617188
1,5.0,30.0,26.0,1.9613573551177976
1,5.0,30.0,27.0,1.9045588970184328
1,5.0,30.0,28.0,1.8844707012176516
1,5.0,30.0,29.0,1.8684427738189695
1,5.0,30.0,30.0,1.8343191146850584
1,5.0,31.0,17.0,20.37692785263061
1,5.0,31.0,18.0,10.956870555877686
1,5.0,31.0,19.0,7.59212327003479
1,5.0,31.0,20.0,6.974682569503784
1,5.0,31.0,21.0,6.605397939682007
1,5.0,31.0,22.0,5.173842430114746
1,5.0,31.0,23.0,4.430957317352295
1,5.0,31.0,24.0,4.082709312438965
1,5.0,31.0,25.0,3.959409713745117
1,5.0,31.0,26.0,3.861503839492798
1,5.0,31.0,27.0,3.818271160125733
1,5.0,31.0,28.0,3.8375842571258554
1,5.0,31.0,29.0,3.769581079483032
1,5.0,31.0,30.0,3.723429918289185
1,5.0,32.0,17.0,31.323199033737183
1,5.0,32.0,18.0,21.341875553131104
1,5.0,32.0,19.0,16.36698079109192
1,5.0,32.0,20.0,13.64569640159607
1,5.0,32.0,21.0,13.114303588867188
1,5.0,32.0,22.0,10.370280027389526
1,5.0,32.0,23.0,8.811988592147827
1,5.0,32.0,24.0,7.974334001541138
1,5.0,32.0,25.0,7.8926825523376465
1,5.0,32.0,26.0,7.7379209995269775
1,5.0,32.0,27.0,7.65312933921814
1,5.0,32.0,28.0,7.5828857421875
1,5.0,32.0,29.0,7.524394989013672
1,5.0,32.0,30.0,7.481614589691162
1,5.0,33.0,17.0,72.783043384552
1,5.0,33.0,18.0,56.98678350448608
1,5.0,33.0,19.0,36.96757555007935
1,5.0,33.0,20.0,31.31334352493286
1,5.0,33.0,21.0,30.508825540542603
1,5.0,33.0,22.0,21.380754232406616
1,5.0,33.0,23.0,17.53142786026001
1,5.0,33.0,24.0,16.24210786819458
1,5.0,33.0,25.0,15.913029670715332
1,5.0,33.0,26.0,15.537208557128906
1,5.0,33.0,27.0,17.059391021728516
1,5.0,33.0,28.0,15.236252784729004
1,5.0,33.0,29.0,15.136187553405762
1,5.0,33.0,30.0,16.71303629875183
1,6.0,30.0,17.0,6.548306465148926
1,6.0,30.0,18.0,5.620280742645264
1,6.0,30.0,19.0,3.597499132156372
1,6.0,30.0,20.0,2.8962926864624023
1,6.0,30.0,21.0,2.835179090499878
1,6.0,30.0,22.0,2.191425323486328
1,6.0,30.0,23.0,1.8756699562072756
1,6.0,30.0,24.0,1.703071355819702
1,6.0,30.0,25.0,1.705040693283081
1,6.0,30.0,26.0,1.655428409576416
1,6.0,30.0,27.0,1.8072707653045652
1,6.0,30.0,28.0,1.646633863449097
1,6.0,30.0,29.0,1.5985445976257324
1,6.0,30.0,30.0,2.4253392219543457
1,6.0,31.0,17.0,13.38465666770935
1,6.0,31.0,18.0,12.44198226928711
1,6.0,31.0,19.0,7.025595188140869
1,6.0,31.0,20.0,6.661668062210083
1,6.0,31.0,21.0,6.273839712142944
1,6.0,31.0,22.0,4.767701864242554
1,6.0,31.0,23.0,4.124918460845947
1,6.0,31.0,24.0,3.5533621311187744
1,6.0,31.0,25.0,3.82445240020752
1,6.0,31.0,26.0,3.669833898544312
1,6.0,31.0,27.0,3.696568012237549
1,6.0,31.0,28.0,3.1966335773468018
1,6.0,31.0,29.0,3.6017656326293945
1,6.0,31.0,30.0,3.506699085235596
1,6.0,32.0,17.0,27.84777331352234
1,6.0,32.0,18.0,20.969602823257446
1,6.0,32.0,19.0,15.044541597366331
1,6.0,32.0,20.0,11.656278848648071
1,6.0,32.0,21.0,10.829238414764404
1,6.0,32.0,22.0,8.671483278274536
1,6.0,32.0,23.0,7.458727598190308
1,6.0,32.0,24.0,6.828422546386719
1,6.0,32.0,25.0,6.793687105178833
1,6.0,32.0,26.0,6.590075254440308
1,6.0,32.0,27.0,6.483236789703369
1,6.0,32.0,28.0,6.357526302337647
1,6.0,32.0,29.0,6.409653902053833
1,6.0,32.0,30.0,6.554060459136963
1,6.0,33.0,17.0,90.79717135429382
1,6.0,33.0,18.0,50.12236309051514
1,6.0,33.0,19.0,38.34865617752075
1,6.0,33.0,20.0,28.77871775627136
1,6.0,33.0,21.0,22.403355360031128
1,6.0,33.0,22.0,18.25678563117981
1,6.0,33.0,23.0,15.038568019866943
1,6.0,33.0,24.0,13.558469295501707
1,6.0,33.0,25.0,13.46906805038452
1,6.0,33.0,26.0,13.065407037734984
1,6.0,33.0,27.0,12.98522925376892
1,6.0,33.0,28.0,12.810624122619627
1,6.0,33.0,29.0,12.941985845565796
1,6.0,33.0,30.0,12.884287118911743
1,7.0,30.0,17.0,5.9094154834747314
1,7.0,30.0,18.0,3.889046907424927
1,7.0,30.0,19.0,3.3480782508850098
1,7.0,30.0,20.0,2.980537176132202
1,7.0,30.0,21.0,2.660420656204224
1,7.0,30.0,22.0,2.151242971420288
1,7.0,30.0,23.0,1.6540899276733398
1,7.0,30.0,24.0,1.5463628768920898
